sectror_id, lat
250,255
251,255
252,255
253,255
254,255
255,255
256,180
257,180
258,180
259,180
260,180
261,180
262,180
263,180
264,180
265,180
266,180
267,180
268,180
269,180
270,180
271,180
272,180
273,180
274,180
275,180
276,180
277,180
278,180
279,180
280,180
281,180
282,180
283,180
284,180
285,180
286,180
287,180
288,208
289,208
290,208
291,208
292,208
293,208
294,208
295,208
296,208
297,208
298,208
299,208
300,208
301,208
302,208
303,208
304,208
305,208
306,208
307,208
308,208
309,208
310,208
311,208
312,208
313,208
314,208
315,208
316,208
317,208
318,208
319,208
320,112
321,112
322,112
323,112
324,112
325,112
326,112
327,112
328,112
329,112
330,112
331,112
332,112
333,112
334,112
335,112
336,112
337,112
338,112
339,112
340,112
341,112
342,112
343,112
344,112
345,112
346,112
347,112
348,112
349,112
350,112
351,112
352,226
353,226
354,226
355,226
356,226
357,226
358,226
359,226
360,226
361,226
362,226
363,226
364,226
365,226
366,226
367,226
368,226
369,226
370,226
371,226
372,226
373,226
374,226
375,226
376,226
377,226
378,226
379,226
380,226
381,226
382,226
383,226
384,205
385,205
386,205
387,205
388,205
389,205
390,205
391,205
392,205
393,205
394,205
395,205
396,205
397,205
398,205
399,205
400,205
401,205
402,205
403,205
404,205
405,205
406,205
407,205
408,205
409,205
410,205
411,205
412,205
413,205
414,205
415,205
416,176
417,176
418,176
419,176
420,176
421,176
422,176
423,176
424,176
425,176
426,176
427,176
428,176
429,176
430,176
431,176
432,176
433,176
434,176
435,176
436,176
437,176
438,176
439,176
440,176
441,176
442,176
443,176
444,176
445,176
446,176
447,176
448,183
449,183
450,183
451,183
452,183
453,183
454,183
455,183
456,183
457,183
458,183
459,183
460,183
461,183
462,183
463,183
464,183
465,183
466,183
467,183
468,183
469,183
470,183
471,183
472,183
473,183
474,183
475,183
476,183
477,183
478,183
479,183
480,200
481,200
482,200
483,200
484,200
485,200
486,200
487,200
488,200
489,200
490,200
491,200
492,200
493,200
494,200
495,200
496,200
497,200
498,200
499,200
500,200
501,200
502,200
503,200
504,200
505,200
506,200
507,200
508,200
509,200
510,200
511,200
512,243
513,243
514,243
515,243
516,243
517,243
518,243
519,243
520,243
521,243
522,243
523,243
524,243
525,243
526,243
527,243
528,243
529,243
530,243
531,243
532,243
533,243
534,243
535,243
536,243
537,243
538,243
539,243
540,243
541,243
542,243
543,243
544,93
545,93
546,93
547,93
548,93
549,93
550,93
551,93
552,93
553,93
554,93
555,93
556,93
557,93
558,93
559,93
560,93
561,93
562,93
563,93
564,93
565,93
566,93
567,93
568,93
569,93
570,93
571,93
572,93
573,93
574,93
575,93
576,169
577,169
578,169
579,169
580,169
581,169
582,169
583,169
584,169
585,169
586,169
587,169
588,169
589,169
590,169
591,169
592,169
593,169
594,169
595,169
596,169
597,169
598,169
599,169
600,169
601,169
602,169
603,169
604,169
605,169
606,169
607,169
608,104
609,104
610,104
611,104
612,104
613,104
614,104
615,104
616,104
617,104
618,104
619,104
620,104
621,104
622,104
623,104
624,104
625,104
626,104
627,104
628,104
629,104
630,104
631,104
632,104
633,104
634,104
635,104
636,104
637,104
638,104
639,104
640,220
641,220
642,220
643,220
644,220
645,220
646,220
647,220
648,220
649,220
650,220
651,220
652,220
653,220
654,220
655,220
656,220
657,220
658,220
659,220
660,220
661,220
662,220
663,220
664,220
665,220
666,220
667,220
668,220
669,220
670,220
671,220
672,217
673,217
674,217
675,217
676,217
677,217
678,217
679,217
680,217
681,217
682,217
683,217
684,217
685,217
686,217
687,217
688,217
689,217
690,217
691,217
692,217
693,217
694,217
695,217
696,217
697,217
698,217
699,217
700,217
701,217
702,217
703,217
704,209
705,209
706,209
707,209
708,209
709,209
710,209
711,209
712,209
713,209
714,209
715,209
716,209
717,209
718,209
719,209
720,209
721,209
722,209
723,209
724,209
725,209
726,209
727,209
728,209
729,209
730,209
731,209
732,209
733,209
734,209
735,209
736,179
737,179
738,179
739,179
740,179
741,179
742,179
743,179
744,179
745,179
746,179
747,179
748,179
749,179
750,179
751,179
752,179
753,179
754,179
755,179
756,179
757,179
758,179
759,179
760,179
761,179
762,179
763,179
764,179
765,179
766,179
767,179
768,115
769,115
770,115
771,115
772,115
773,115
774,115
775,115
776,115
777,115
778,115
779,115
780,115
781,115
782,115
783,115
784,115
785,115
786,115
787,115
788,115
789,115
790,115
791,115
792,115
793,115
794,115
795,115
796,115
797,115
798,115
799,115
800,147
801,147
802,147
803,147
804,147
805,147
806,147
807,147
808,147
809,147
810,147
811,147
812,147
813,147
814,147
815,147
816,147
817,147
818,147
819,147
820,147
821,147
822,147
823,147
824,147
825,147
826,147
827,147
828,147
829,147
830,147
831,147
832,83
833,83
834,83
835,83
836,83
837,83
838,83
839,83
840,83
841,83
842,83
843,83
844,83
845,83
846,83
847,83
848,83
849,83
850,83
851,83
852,83
853,83
854,83
855,83
856,83
857,83
858,83
859,83
860,83
861,83
862,83
863,83
864,148
865,148
866,148
867,148
868,148
869,148
870,148
871,148
872,148
873,148
874,148
875,148
876,148
877,148
878,148
879,148
880,148
881,148
882,148
883,148
884,148
885,148
886,148
887,148
888,148
889,148
890,148
891,148
892,148
893,148
894,148
895,148
896,85
897,85
898,85
899,85
900,85
901,85
902,85
903,85
904,85
905,85
906,85
907,85
908,85
909,85
910,85
911,85
912,85
913,85
914,85
915,85
916,85
917,85
918,85
919,85
920,85
921,85
922,85
923,85
924,85
925,85
926,85
927,85
928,127
929,127
930,127
931,127
932,127
933,127
934,127
935,127
936,127
937,127
938,127
939,127
940,127
941,127
942,127
943,127
944,127
945,127
946,127
947,127
948,127
949,127
950,127
951,127
952,127
953,127
954,127
955,127
956,127
957,127
958,127
959,127
960,140
961,140
962,140
963,140
964,140
965,140
966,140
967,140
968,140
969,140
970,140
971,140
972,140
973,140
974,140
975,140
976,140
977,140
978,140
979,140
980,140
981,140
982,140
983,140
984,140
985,140
986,140
987,140
988,140
989,140
990,140
991,140
992,76
993,76
994,76
995,76
996,76
997,76
998,76
999,76
1000,76
1001,76
1002,76
1003,76
1004,76
1005,76
1006,76
1007,76
1008,76
1009,76
1010,76
1011,76
1012,76
1013,76
1014,76
1015,76
1016,76
1017,76
1018,76
1019,76
1020,76
1021,76
1022,76
1023,76
